Model,Accuracy,Precision,Recall,F1 Score
random_forest_model_s.pkl,0.9830151252169601,0.9830874310814778,0.9830151252169601,0.9830166275995874
xgboost_model_s.pkl,0.9830151252169601,0.9831044223074681,0.9830151252169601,0.9830335090604908
gradient_boost_model_s.pkl,0.9784279692536574,0.9784995295662967,0.9784279692536574,0.9784397047911854
cnn_model_s.h5,0.9747086536077362,0.9750433842089397,0.9747086536077362,0.974716162162071
knn_model_s.pkl,0.9737168361021572,0.9740139582293083,0.9737168361021572,0.9737692458155675
ann_2layer_model_s.keras,0.9695016117034466,0.9701043056394834,0.9695016117034466,0.9696374165317332
ann_3layer_model_s.keras,0.9675179766922887,0.9679941378658479,0.9675179766922887,0.9675707783529945
svm_rbf_model_s.pkl,0.9474336722043144,0.9489880626953007,0.9474336722043144,0.9473642458913223
