Model,Accuracy,Precision,Recall,F1 Score
random_forest_model_s.pkl,0.999008182494421,0.9990103273452386,0.999008182494421,0.9990077950767824
xgboost_model_s.pkl,0.999008182494421,0.9990084120301844,0.999008182494421,0.9990081053472913
gradient_boost_model_s.pkl,0.9987602281180263,0.9987632936834294,0.9987602281180263,0.9987598394342581
knn_model_s.pkl,0.9873543268038681,0.9874810449888025,0.9873543268038681,0.9873585348043183
ann_3layer_model_s.keras,0.9699975204562361,0.9705831033013982,0.9699975204562361,0.9700138622292631
cnn_model_s.h5,0.9485494668980907,0.9514356988558799,0.9485494668980907,0.9484653424316349
ann_2layer_model_s.keras,0.9453260600049591,0.9484894220276391,0.9453260600049591,0.9450101460532658
svm_rbf_model_s.pkl,0.8193652367964295,0.8245007518599835,0.8193652367964295,0.8208604104439511
