Model,Accuracy,Precision,Recall,F1 Score
random_forest_model_s.pkl,0.9997520456236053,0.9997521224372287,0.9997520456236053,0.9997520456116925
xgboost_model_s.pkl,0.9992561368708158,0.9992572864613384,0.9992561368708158,0.9992562131844711
gradient_boost_model_s.pkl,0.9987602281180263,0.9987631407682689,0.9987602281180263,0.9987598011344069
knn_model_s.pkl,0.9884701214976445,0.9885650332768283,0.9884701214976445,0.988474112012715
cnn_model_s.h5,0.9778080833126704,0.9779206586773308,0.9778080833126704,0.9777857631023793
ann_3layer_model_s.keras,0.9771881973716836,0.9777503952995117,0.9771881973716836,0.9772348744558761
ann_2layer_model_s.keras,0.9717332010909993,0.9721087362124589,0.9717332010909993,0.9717286732563766
svm_rbf_model_s.pkl,0.8239523927597322,0.828509145269831,0.8239523927597322,0.8252759883157186
